City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,12.82,73,72,11.0,CL,1684897040
1,ribeira grande,38.5167,-28.7,16.54,84,94,4.02,PT,1684897056
2,iqaluit,63.7506,-68.5145,-7.15,79,100,2.57,CA,1684897040
3,grytviken,-54.2811,-36.5092,1.56,86,21,5.68,GS,1684897035
4,taunsa,30.7048,70.6505,32.82,30,10,4.24,PK,1684897146
5,sitka,57.0531,-135.33,10.94,71,0,5.14,US,1684897039
6,waitangi,-43.9535,-176.5597,12.12,86,78,1.79,NZ,1684897032
7,pacific grove,36.6177,-121.9166,13.7,86,40,5.66,US,1684897147
8,ushuaia,-54.8,-68.3,2.81,93,100,8.75,AR,1684897006
9,bilibino,68.0546,166.4372,11.47,40,80,2.16,RU,1684897074
10,edinburgh of the seven seas,-37.0676,-12.3116,13.45,59,91,10.44,SH,1684897033
11,quatre cocos,-20.2078,57.7625,22.06,79,20,1.74,MU,1684897147
12,avarua,-21.2078,-159.775,25.03,69,20,1.54,CK,1684897070
13,kudahuvadhoo,2.6708,72.8944,28.36,75,13,3.33,MV,1684897148
14,longyearbyen,78.2186,15.6401,2.91,70,75,0.51,SJ,1684897066
15,lihue,21.9789,-159.3672,27.58,75,40,6.69,US,1684897128
16,isafjordur,66.0755,-23.124,1.98,95,96,9.12,IS,1684897068
17,carnarvon,-24.8667,113.6333,22.31,55,100,1.96,AU,1684897149
18,whitehorse,60.7161,-135.0538,18.34,26,75,5.66,CA,1684897065
19,queenstown,-31.8976,26.8753,8.25,47,33,2.62,ZA,1684897149
20,ust-nera,64.5667,143.2,3.45,96,100,3.07,RU,1684897067
21,port-aux-francais,-49.35,70.2167,6.81,97,97,7.92,TF,1684897031
22,brookings,44.3114,-96.7984,22.19,56,40,3.94,US,1684897150
23,ta`u,-14.2336,-169.5144,27.23,80,61,5.08,AS,1684897094
24,bethel,41.3712,-73.414,12.58,78,0,0.0,US,1684897060
25,aginskoye,51.1,114.53,16.68,25,4,5.45,RU,1684897150
26,loreto,22.2667,-101.9667,23.36,31,100,1.6,MX,1684896861
27,cay,38.5917,31.0286,10.92,89,100,1.08,TR,1684897151
28,invercargill,-46.4,168.35,10.32,66,66,4.13,NZ,1684897018
29,klyuchi,52.2667,79.1667,19.01,33,0,4.87,RU,1684897069
30,saipan,15.1355,145.701,27.39,100,100,11.32,MP,1684897037
31,north bend,43.4065,-124.2243,14.58,82,40,8.23,US,1684897152
32,adamstown,-25.066,-130.1015,24.99,85,73,13.02,PN,1684897039
33,kovdor,67.5662,30.4758,11.46,74,9,3.27,RU,1684897152
34,la gi,10.6667,107.7833,32.4,59,86,5.1,VN,1684897152
35,anadyr,64.75,177.4833,4.28,75,40,3.0,RU,1684897051
36,hamilton,39.1834,-84.5333,21.89,69,20,0.0,US,1684896679
37,olonkinbyen,70.9221,-8.7187,0.81,89,100,12.87,SJ,1684897045
38,pochinki,54.6988,44.8668,16.31,60,100,6.0,RU,1684897153
39,magadan,59.5667,150.8,5.85,98,100,2.59,RU,1684897053
40,margaret river,-33.95,115.0667,15.58,50,99,6.75,AU,1684896738
41,thompson,55.7435,-97.8558,11.09,43,75,1.54,CA,1684897098
42,padang,-0.9492,100.3543,30.03,67,3,1.52,ID,1684897154
43,sciacca,37.5082,13.0881,17.24,82,6,1.59,IT,1684897155
44,puerto natales,-51.7236,-72.4875,-0.64,93,81,2.04,CL,1684897058
45,nyurba,63.2842,118.3319,12.74,31,99,3.22,RU,1684897132
46,wenshui,28.4506,106.5267,21.96,63,70,1.9,CN,1684897155
47,ilulissat,69.2167,-51.1,-4.36,95,100,4.12,GL,1684897064
48,tahla,34.0485,-4.428,12.76,88,92,0.57,MA,1684897156
49,tebessa,35.4042,8.1242,12.6,76,0,2.06,DZ,1684897156
50,colonia,50.9333,6.95,7.75,84,0,1.03,DE,1684896854
51,okondja,-0.6549,13.6753,22.45,98,95,0.67,GA,1684897156
52,mount gambier,-37.8333,140.7667,17.34,56,62,5.81,AU,1684897099
53,zeya,53.75,127.2667,15.41,57,88,2.04,RU,1684897157
54,cambria,35.5641,-121.0808,14.17,88,39,0.89,US,1684897157
55,maridi,4.9158,29.4742,19.15,95,37,1.93,SS,1684897157
56,albany,42.6001,-73.9662,16.76,67,8,2.77,US,1684897038
57,nar'yan-mar,67.6713,53.087,16.45,55,11,4.7,RU,1684897031
58,basco,20.4487,121.9702,26.95,77,74,3.89,PH,1684897158
59,richards bay,-28.783,32.0377,15.52,90,0,1.93,ZA,1684897063
60,bredasdorp,-34.5322,20.0403,11.52,90,100,1.42,ZA,1684897060
61,cockburn town,21.4612,-71.1419,26.84,77,0,1.94,TC,1684897126
62,petal,31.3466,-89.2601,21.97,85,75,3.09,US,1684897159
63,lurugan,8.0167,124.9667,25.66,80,68,1.48,PH,1684897159
64,mbanza-ngungu,-5.25,14.8667,20.04,99,63,1.41,CD,1684897159
65,manismata,-2.4667,111.0333,31.33,58,91,1.77,ID,1684897058
66,joshua tree,34.1347,-116.3131,28.02,14,5,7.15,US,1684897160
67,chonchi,-42.6128,-73.8092,7.29,91,100,4.61,CL,1684897118
68,wailua homesteads,22.0669,-159.378,27.24,75,40,6.69,US,1684897068
69,rongelap,11.1635,166.8941,28.21,73,100,7.46,MH,1684897160
70,hawaiian paradise park,19.5933,-154.9731,27.07,71,40,3.6,US,1684897042
71,adrar,20.5022,-10.0711,24.21,23,92,4.6,MR,1684897161
72,djibo,14.1022,-1.6306,31.84,42,30,5.03,BF,1684897161
73,kavieng,-2.5744,150.7967,27.64,80,98,3.87,PG,1684897083
74,enewetak,11.3474,162.3373,28.56,70,100,5.67,MH,1684897039
75,nantucket,41.2835,-70.0995,9.03,82,0,2.57,US,1684897075
76,kerikeri,-35.2268,173.9474,16.91,73,3,4.59,NZ,1684896950
77,georgetown,5.4112,100.3354,31.97,66,20,1.54,MY,1684896952
78,mancora,-4.1078,-81.0475,25.48,75,86,3.24,PE,1684897162
79,lashio,22.9333,97.75,31.11,37,27,1.21,MM,1684897163
80,stanley,54.868,-1.6985,8.83,86,0,3.09,GB,1684896788
81,aasiaat,68.7098,-52.8699,-3.84,92,100,6.4,GL,1684897055
82,liberia,6.5,-9.5,23.72,96,100,0.62,LR,1684897163
83,la sarre,48.8002,-79.1996,0.71,84,96,4.95,CA,1684897164
84,tura,25.5198,90.2201,26.5,76,51,1.48,IN,1684897104
85,kodiak,57.79,-152.4072,6.73,93,100,4.63,US,1684897094
86,nguigmi,14.2495,13.1092,30.27,47,26,5.62,NE,1684897150
87,luderitz,-26.6481,15.1594,13.4,69,35,2.35,NA,1684897106
88,hadibu,12.65,54.0333,29.04,71,71,1.9,YE,1684897040
89,cabo san lucas,22.8909,-109.9124,31.17,21,40,5.66,MX,1684897068
90,san patricio,28.017,-97.5169,27.13,76,17,3.48,US,1684897149
91,gebeit,21.0667,36.3167,24.79,64,67,1.52,SD,1684897080
92,kaka,37.3482,59.6143,30.13,27,1,1.67,TM,1684897165
93,udachny,66.4167,112.4,3.63,68,95,5.85,RU,1684897038
94,tual,-5.6667,132.75,27.76,79,66,10.59,ID,1684897124
95,chillicothe,39.3331,-82.9824,18.69,81,0,1.54,US,1684897137
96,bayanhongor,46.7167,100.1167,7.08,42,83,3.88,MN,1684897166
97,kourou,5.1552,-52.6478,25.03,93,100,2.12,GF,1684897158
98,nuuk,64.1835,-51.7216,-0.07,67,100,9.39,GL,1684897066
99,punta arenas,-53.15,-70.9167,2.06,87,0,5.66,CL,1684897048
100,kailua-kona,19.6406,-155.9956,27.5,78,75,4.63,US,1684896713
101,vila franca do campo,37.7167,-25.4333,16.23,82,85,3.45,PT,1684897061
102,ponta delgada,37.7333,-25.6667,16.4,82,40,2.06,PT,1684897168
103,goure,13.9835,10.2704,29.76,35,20,2.97,NE,1684897168
104,nova sintra,14.8667,-24.7167,20.21,81,79,5.41,CV,1684897113
105,akcadag,38.3453,37.9672,5.55,100,0,1.54,TR,1684897168
106,mount isa,-20.7333,139.5,25.87,29,0,5.14,AU,1684897159
107,mar del plata,-38.0023,-57.5575,17.83,98,100,2.57,AR,1684897132
108,qaqortoq,60.7167,-46.0333,-0.41,76,100,1.7,GL,1684897110
109,yellowknife,62.456,-114.3525,16.29,27,75,6.17,CA,1684897044
110,turpan,42.9333,89.1667,27.18,13,1,2.69,CN,1684897138
111,papatowai,-46.5619,169.4708,11.25,59,56,3.91,NZ,1684897063
112,vila do maio,15.1333,-23.2167,22.44,80,88,6.42,CV,1684897170
113,ekpoma,6.7421,6.139,22.27,99,100,1.24,NG,1684897170
114,oranjemund,-28.55,16.4333,11.75,74,99,0.41,NA,1684897072
115,belyy yar,53.6039,91.3903,16.94,36,0,7.0,RU,1684897171
116,mont-dore,-22.2833,166.5833,23.99,58,91,5.13,NC,1684897109
117,parnu,58.3859,24.4971,10.05,87,26,1.03,EE,1684897171
118,altamont,42.2068,-121.7372,17.91,32,0,7.72,US,1684897171
119,malango,-2.9627,119.9001,26.57,70,51,1.61,ID,1684897172
120,jaisalmer,26.9147,70.9181,30.61,56,14,8.61,IN,1684897172
121,tolanaro,-25.0319,46.9987,16.04,94,20,2.06,MG,1684897141
122,san luis de la loma,17.2706,-100.8939,27.98,72,38,2.18,MX,1684897172
123,jamestown,42.097,-79.2353,16.8,79,0,0.45,US,1684897067
124,hafnarfjordur,64.0671,-21.9377,6.21,70,75,15.43,IS,1684897173
125,holualoa,19.6228,-155.9522,25.31,78,75,4.63,US,1684897037
126,blackmans bay,-43.0167,147.3167,18.74,56,100,4.13,AU,1684897050
127,bandar lampung,-5.4254,105.258,28.15,75,56,2.63,ID,1684897173
128,san antonio de pale,-1.4014,5.6325,26.19,81,28,2.95,GQ,1684897041
129,kill devil hills,36.0307,-75.676,17.21,90,100,8.75,US,1684897174
130,sorong,-0.8833,131.25,29.93,66,89,2.94,ID,1684897107
131,namibe,-15.1961,12.1522,21.3,72,1,3.57,AO,1684897121
132,susuman,62.7833,148.1667,3.24,99,100,1.18,RU,1684897048
133,afaahiti,-17.75,-149.2833,26.93,79,78,5.7,PF,1684897174
134,yaren,-0.5472,166.916,25.93,80,100,1.74,NR,1684897175
135,alaghsas,17.0187,8.0168,32.18,15,95,4.21,NE,1684897175
136,sima,53.9202,102.0442,7.19,71,100,6.88,RU,1684897175
137,klaksvik,62.2266,-6.589,7.51,75,10,15.92,FO,1684897175
138,bargaal,11.2864,51.0773,27.64,82,96,4.32,SO,1684897175
139,kapa'a,22.0752,-159.319,27.99,74,40,6.69,US,1684896832
140,santa pola,38.1917,-0.5658,17.36,91,75,2.57,ES,1684897176
141,al hudaydah,14.7978,42.9545,30.28,69,42,2.44,YE,1684897176
142,flying fish cove,-10.4217,105.6791,26.82,83,75,4.63,CX,1684897168
143,port saint john's,-31.6229,29.5448,15.66,57,6,2.92,ZA,1684897049
144,tadine,-21.55,167.8833,22.88,55,88,6.93,NC,1684897105
145,kirovskiy,45.0917,133.5136,23.61,40,4,3.96,RU,1684897177
146,matoury,4.8483,-52.3317,24.98,94,75,0.0,GF,1684897177
147,talnakh,69.4865,88.3972,0.67,87,61,4.67,RU,1684897060
148,onega,63.9061,38.1404,13.0,86,84,3.02,RU,1684897178
149,sabzevar,36.2126,57.6819,25.53,33,3,2.43,IR,1684897178
150,harper,4.375,-7.7169,26.87,84,46,2.35,LR,1684897178
151,st. john's,47.5649,-52.7093,2.38,95,75,6.17,CA,1684897006
152,porto novo,6.4965,2.6036,27.9,88,100,1.97,BJ,1684897179
153,fort bragg,35.139,-79.006,19.34,42,100,5.14,US,1684897112
154,chaman,30.9236,66.4512,25.75,25,0,5.37,PK,1684897179
155,maloye ganyushkino,46.6,49.2667,21.98,67,65,7.29,KZ,1684897179
156,puerto baquerizo moreno,-0.9,-89.6,25.22,77,78,4.2,EC,1684897043
157,christchurch,-43.5333,172.6333,13.86,64,20,1.54,NZ,1684896778
158,nuku'alofa,-21.1333,-175.2,25.19,69,75,4.12,TO,1684897164
159,remire-montjoly,4.9167,-52.2667,25.02,94,75,0.0,GF,1684896726
160,kargil,34.5667,76.1,5.63,84,100,2.0,IN,1684897180
161,vytegra,61.0064,36.4481,12.95,96,100,1.96,RU,1684897181
162,puerto ayora,-0.7393,-90.3518,25.86,91,100,1.34,EC,1684896802
163,rawson,-43.3002,-65.1023,10.79,38,0,5.29,AR,1684897181
164,balakhta,55.38,91.6,11.25,40,50,7.2,RU,1684897181
165,rouissat,31.9243,5.3502,22.04,35,5,1.54,DZ,1684897181
166,les avirons,-21.2418,55.3394,20.77,88,100,2.57,RE,1684897182
167,haiku-pauwela,20.9219,-156.3051,28.01,59,0,11.32,US,1684897095
168,taksimo,56.3444,114.8794,13.66,31,69,0.76,RU,1684897182
169,farah,32.5,62.5,26.81,20,0,2.89,AF,1684897182
170,ivdel',60.6911,60.4206,18.0,56,100,0.51,RU,1684897182
171,saudarkrokur,65.7461,-19.6394,3.02,95,100,9.54,IS,1684897183
172,pangody,65.85,74.4859,5.54,54,58,1.0,RU,1684897114
173,bubaque,11.2833,-15.8333,27.45,73,100,5.34,GW,1684897183
174,chibougamau,49.9168,-74.3659,4.79,87,100,5.66,CA,1684897141
175,embarcacion,-23.209,-64.096,21.79,94,24,0.18,AR,1684897184
176,san pedro pochutla,15.7333,-96.4667,28.73,73,11,2.55,MX,1684897160
177,polovinnoye,54.7914,65.9864,21.09,36,34,3.28,RU,1684897184
178,alice springs,-23.7,133.8833,20.75,28,2,2.06,AU,1684897165
179,olinda,-8.0089,-34.8553,24.85,88,75,4.12,BR,1684897030
180,isangel,-19.55,169.2667,24.09,58,99,7.28,VU,1684897185
181,prado,-17.3411,-39.2208,21.92,90,99,1.75,BR,1684896679
182,praia da vitoria,38.7333,-27.0667,17.14,77,40,4.18,PT,1684897124
183,utrik,11.2278,169.8474,27.98,77,100,7.43,MH,1684897088
184,midvagur,62.0511,-7.1939,7.46,76,75,10.29,FO,1684897141
185,tobelo,1.7284,128.0095,30.85,65,70,2.32,ID,1684897186
186,wukari,7.85,9.7833,26.66,77,97,2.36,NG,1684897186
187,bonthe,7.5264,-12.505,24.41,92,93,2.0,SL,1684897186
188,kangaba,11.9333,-8.4167,29.01,41,51,1.46,ML,1684897186
189,as sulayyil,20.4607,45.5779,27.14,40,100,7.49,SA,1684897056
190,tiksi,71.6872,128.8694,-2.7,81,15,1.82,RU,1684897077
191,espiye,40.9479,38.7115,15.84,87,21,1.02,TR,1684897187
192,bathsheba,13.2167,-59.5167,26.34,89,40,3.6,BB,1684897187
193,isla mujeres,21.2311,-86.731,27.03,73,0,3.08,MX,1684897187
194,atafu village,-8.5421,-172.5159,28.3,73,93,3.0,TK,1684897043
195,badger,64.8,-147.5333,20.93,30,0,3.09,US,1684897055
196,dudinka,69.4058,86.1778,0.9,87,73,3.05,RU,1684897101
197,palmer,42.1584,-72.3287,13.75,66,75,4.63,US,1684897188
198,smithers,54.7804,-127.1743,22.18,33,0,3.6,CA,1684897122
199,lodwar,3.1191,35.5973,27.64,54,17,4.45,KE,1684897189
200,livingstonia,-10.606,34.1063,16.57,87,94,0.51,MW,1684897189
201,adelaide,-34.9333,138.6,20.8,56,75,7.72,AU,1684897000
202,leava,-14.3,-178.1667,27.33,80,100,6.2,WF,1684897189
203,la'ie,21.6477,-157.9253,28.98,72,2,3.58,US,1684897190
204,north ward,-19.2454,146.8075,27.95,42,20,7.72,AU,1684897190
205,xinqing,48.2333,129.5,24.86,24,100,6.09,CN,1684897190
206,lethem,3.3803,-59.7968,24.78,88,51,3.18,GY,1684897190
207,fort wellington,6.4,-57.6,25.81,88,100,3.87,GY,1684897191
208,ayutla de los libres,16.9,-99.2167,26.66,70,10,0.82,MX,1684897191
209,naze,28.3667,129.4833,23.51,66,25,6.09,JP,1684897070
210,port mathurin,-19.6833,63.4167,24.96,61,1,5.68,MU,1684897059
211,leh,34.1667,77.5833,8.42,63,100,2.43,IN,1684897170
212,atuncolla,-15.6833,-70.15,4.64,51,9,1.51,PE,1684897192
213,ha tinh,18.3333,105.9,33.09,56,93,1.7,VN,1684897192
214,amos,48.5669,-78.1162,1.43,92,100,4.83,CA,1684897011
215,bol'shoy kamen',43.1225,132.3583,17.94,61,1,3.68,RU,1684897193
216,samana,19.2056,-69.3369,24.61,90,0,2.28,DO,1684897120
217,codrington,-38.2667,141.9667,16.93,56,38,8.33,AU,1684897073
218,puerto ayacucho,5.6639,-67.6236,24.86,92,92,1.06,VE,1684897193
219,magistral'nyy,56.1725,107.4458,6.47,88,100,2.0,RU,1684897194
220,lee acres,35.1487,-106.647,25.46,28,75,2.57,US,1684897194
221,antsiranana,-12.2787,49.2917,22.22,91,94,1.44,MG,1684897085
222,ceelbuur,4.685,46.6176,24.97,84,75,4.49,SO,1684897194
223,kamina,-8.7386,24.9906,17.81,69,6,1.36,CD,1684897195
224,katsuura,35.1333,140.3,19.43,43,3,1.81,JP,1684897195
225,kita,13.0349,-9.4895,31.03,33,99,1.01,ML,1684897195
226,itaituba,-4.2761,-55.9836,24.38,96,100,0.88,BR,1684897156
227,kaoma,-14.7833,24.8,14.02,60,1,2.45,ZM,1684897196
228,catacaos,-5.2667,-80.6833,26.17,63,88,6.35,PE,1684897196
229,bela,25.9333,81.9833,34.92,33,74,3.54,IN,1684897196
230,west island,-12.1568,96.8225,28.99,74,40,2.06,CC,1684897032
231,weno,7.4515,151.8468,25.97,94,100,3.09,FM,1684897090
232,ellsworth,44.5434,-68.4195,8.81,87,0,3.09,US,1684896918
233,durres,41.3231,19.4414,14.1,78,11,2.22,AL,1684897197
234,shingu,33.7333,135.9833,21.29,41,0,2.22,JP,1684897197
235,mooloolaba,-26.6833,153.1167,22.95,58,0,3.36,AU,1684897197
236,new norfolk,-42.7826,147.0587,19.4,51,100,4.02,AU,1684897145
237,crucecita,-28.95,-58.9833,21.78,84,0,4.67,AR,1684897037
238,jatai,-17.8814,-51.7144,15.43,65,0,1.76,BR,1684897198
239,cooper's town,26.8667,-77.5167,25.71,77,11,4.79,BS,1684897198
240,talikota,16.4833,76.3167,31.67,40,1,5.54,IN,1684897199
241,vorgashor,67.5833,63.95,10.64,56,16,3.71,RU,1684897065
242,alofi,-19.0595,-169.9187,26.94,65,40,2.06,NU,1684897082
243,coquimbo,-29.9533,-71.3436,13.85,100,100,1.03,CL,1684897116
244,pemangkat,1.1667,108.9667,29.98,67,97,3.77,ID,1684897199
245,nema,57.5067,50.5011,17.25,65,85,2.47,RU,1684897200
246,idri,27.5,13.2667,22.66,11,63,1.16,LY,1684897200
247,mae hong son,19.3003,97.9685,30.08,62,20,1.03,TH,1684897201
248,auki,-8.7676,160.7034,28.1,80,37,0.06,SB,1684897201
249,tsiombe,-25.3,45.4833,15.8,71,6,0.78,MG,1684897084
250,matthew town,20.95,-73.6667,27.06,72,0,3.31,BS,1684897204
251,pitanga,-24.7572,-51.7614,13.45,81,0,1.92,BR,1684897205
252,mil'kovo,55.6078,37.7956,15.73,97,100,1.93,RU,1684897148
253,saldanha,-33.0117,17.9442,8.03,83,100,3.62,ZA,1684897102
254,nagqu,31.5,92.0,6.87,41,100,3.98,CN,1684897112
255,chetwayi,10.5333,76.05,29.4,74,80,0.78,IN,1684897207
256,kavaratti,10.5669,72.642,29.02,72,16,1.6,IN,1684897207
257,conduaga,8.862,117.4893,29.25,72,100,3.15,PH,1684897208
258,west end,26.6833,-78.9667,24.99,72,65,4.23,BS,1684897209
259,mwinilunga,-11.7358,24.4293,14.59,77,5,1.82,ZM,1684897210
260,samborondon,-1.95,-79.7333,27.0,95,58,0.19,EC,1684897211
261,barcin,52.8661,17.9463,14.62,95,100,1.85,PL,1684897211
262,portland,45.5234,-122.6762,17.32,61,0,3.6,US,1684896609
263,nemuro,43.3236,145.575,4.98,83,100,7.38,JP,1684897104
264,eilat,29.5581,34.9482,24.91,41,0,5.14,IL,1684897212
265,northam,51.0333,-4.2167,10.22,93,41,3.1,GB,1684897212
266,bintulu,3.1667,113.0333,30.23,70,20,2.57,MY,1684896851
267,bardai,11.65,7.2333,26.27,66,46,4.54,NG,1684897153
268,pingdu,36.7844,119.9464,26.2,23,100,7.17,CN,1684897213
269,gufeng,26.9083,118.9819,15.94,83,89,1.4,CN,1684897213
270,chios,38.3678,26.1358,16.87,86,38,2.52,GR,1684897214
271,puerto deseado,-47.7503,-65.8938,6.16,44,0,5.45,AR,1684897214
272,hithadhoo,-0.6,73.0833,28.24,73,4,2.4,MV,1684897068
273,bikenibeu village,1.3673,173.1241,29.98,74,75,2.57,KI,1684897053
274,shiyan,32.6475,110.7781,20.16,62,5,1.0,CN,1684897215
275,harar,9.3094,42.1258,15.67,83,49,3.5,ET,1684897215
276,roma,43.2128,-75.4557,18.26,80,75,0.0,US,1684897005
277,port-vila,-17.7338,168.3219,24.78,69,100,4.63,VU,1684897216
278,baxter,46.3433,-94.2867,24.16,92,100,6.29,US,1684897216
279,ad-damazin,11.7891,34.3592,28.33,54,0,5.04,SD,1684897217
